Call Quality,Telelcom Provider,Actual,2011/01,85.10883979
Call Quality,Telelcom Provider,Actual,2011/02,99.56565054
Call Quality,Telelcom Provider,Actual,2011/03,89.1148758
Call Quality,Telelcom Provider,Actual,2011/04,91.56691272
Call Quality,Telelcom Provider,Actual,2011/05,99.07971867
Call Quality,Telelcom Provider,Actual,2011/06,94.30333323
Call Quality,Telelcom Provider,Actual,2011/07,102.628355
Call Quality,Telelcom Provider,Actual,2011/08,95.04336604
Call Quality,Telelcom Provider,Actual,2011/09,91.73712026
Call Quality,Telelcom Provider,Actual,2011/10,87.54339056
Call Quality,Telelcom Provider,Actual,2011/11,84.84386234
Call Quality,Telelcom Provider,Actual,2011/12,94.65639515
Call Quality,Telelcom Provider,Target,2011/01,97
Call Quality,Telelcom Provider,Target,2011/02,97
Call Quality,Telelcom Provider,Target,2011/03,97
Call Quality,Telelcom Provider,Target,2011/04,97
Call Quality,Telelcom Provider,Target,2011/05,97
Call Quality,Telelcom Provider,Target,2011/06,97
Call Quality,Telelcom Provider,Target,2011/07,97
Call Quality,Telelcom Provider,Target,2011/08,97
Call Quality,Telelcom Provider,Target,2011/09,97
Call Quality,Telelcom Provider,Target,2011/10,97
Call Quality,Telelcom Provider,Target,2011/11,97
Call Quality,Telelcom Provider,Target,2011/12,97
Call Completion Rate,Telelcom Provider,Actual,2011/01,91.18457457
Call Completion Rate,Telelcom Provider,Actual,2011/02,89.26762157
Call Completion Rate,Telelcom Provider,Actual,2011/03,90.67551356
Call Completion Rate,Telelcom Provider,Actual,2011/04,88.7233738
Call Completion Rate,Telelcom Provider,Actual,2011/05,88.91160865
Call Completion Rate,Telelcom Provider,Actual,2011/06,91.08292979
Call Completion Rate,Telelcom Provider,Actual,2011/07,88.34748523
Call Completion Rate,Telelcom Provider,Actual,2011/08,89.33176653
Call Completion Rate,Telelcom Provider,Actual,2011/09,90.79444107
Call Completion Rate,Telelcom Provider,Actual,2011/10,88.66628148
Call Completion Rate,Telelcom Provider,Actual,2011/11,91.54366583
Call Completion Rate,Telelcom Provider,Actual,2011/12,90.76506328
Call Completion Rate,Telelcom Provider,Target,2011/01,90
Call Completion Rate,Telelcom Provider,Target,2011/02,90
